COURSE,HOLE,PAR,YARDS
Ocean,1,4,524
Ocean,2,3,191
Ocean,3,4,424
Ocean,4,5,566
Ocean,5,3,173
Ocean,6,4,347
Ocean,7,4,450
Ocean,8,4,421
Ocean,9,4,401
Ocean,10,3,177
Ocean,11,5,532
Ocean,12,4,397
Ocean,13,4,378
Ocean,14,4,348
Ocean,15,4,474
Ocean,16,4,407
Ocean,17,3,203
Ocean,18,4,412
Lake,1,4,517
Lake,2,4,446
Lake,3,3,229
Lake,4,4,429
Lake,5,4,492
Lake,6,4,503
Lake,7,4,320
Lake,8,3,200
Lake,9,4,456
Lake,10,4,432
Lake,11,4,444
Lake,12,4,470
Lake,13,3,184
Lake,14,4,429
Lake,15,3,162
Lake,16,5,614
Lake,17,5,524
Lake,18,4,334
